Type,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,Description
Cat,Tabby,Male,Black,Small,Short,No,No,No,Healthy,1,100,Nibble is a 3+ month old ball of cuteness. He is energetic and playful. I rescued a couple of cats a few months ago but could not get them neutered in time as the clinic was fully scheduled. The result was this little kitty. I do not have enough space and funds to care for more cats in my household. Looking for responsible people to take over Nibble's care.
Cat,Domestic Medium Hair,Male,Black,Medium,Medium,None,None,None,Healthy,1,0,I just found it alone yesterday near my apartment. It was shaking so I had to bring it home to provide temporary care.
Dog,Mixed Breed,Female,Black,Medium,Short,Yes,Yes,No,Healthy,1,150,"Good guard dog, very alert, active, obedience waiting for her good master, plz call or sms for more details if you really get interested, thanks!!"
Dog,Mixed Breed,Male,Black,Medium,Short,No,No,No,Healthy,1,0,"This handsome yet cute boy is up for adoption. He is the most playful pal we've seen in our puppies. He loves to nibble on shoelaces , Chase you at such a young age. Imagine what a cute brat he will be when he grows. We are looking for a loving home for Hunter , one that will take care of him and give him the love that he needs. Please call urgently if you would like to adopt this cutie."
Cat,Domestic Short Hair,Female,Cream,Medium,Short,No,No,No,Healthy,1,0,"This is a stray kitten that came to my house. Have been feeding it, but cannot keep it."
Cat,Domestic Long Hair,Male,Black,Medium,Long,No,No,None,Healthy,1,300,anyone within the area of ipoh or taiping who interested to adopt my cat can contact my father at this number (mazuvil)or can just email me. currently bulat is at my hometown at perak but anyone outside the area still want to adopt can travel there to my hometown.there is a lot of cats in my house rite now..i think i should let one of them go to a better owner who can give better attention to him.
Cat,Domestic Medium Hair,Female,Gray,Medium,Medium,No,No,No,Healthy,1,0,"healthy and active, feisty kitten found in neighbours' garden. Not sure of sex."
Dog,Mixed Breed,Male,Black,Medium,Short,No,Yes,No,Healthy,1,0,"For serious adopter, please do sms or call for more details, thanks!"
Cat,Domestic Long Hair,Female,Black,Large,Long,Yes,Yes,No,Healthy,1,50,"Kali is a super playful kitten who is on the go the minute she wakes up. She is very quiet and only meows very rarely. She likes to cuddle when she is sleepy and also when she wakes up from a nap. As long as she has her toys, she keeps herself active and busy during the day. Would recommend you spend at least half an hour every night to play with her as it is her normal routine now. Would recommend that you house her alone as a single cat or with another kitten. She has had her second vaccination and deworming and needs another one next month. Serious adopters only please. Looking for a good forever home for Kali. For more info/photos please whatsapp"
Dog,Mixed Breed,Male,Brown,Medium,Long,Yes,Yes,No,Healthy,1,0,Peanut was an abused puppy until he was rescued. He was very scared of people but now he is a very happy and active puppy! He is a really loving puppy now. (: Lester Jenny Will you adopt him? ================================================== Adopters are required to vaccinate and neuter them. ==================================================
Cat,Domestic Medium Hair,Mixed,Black,Small,Medium,No,No,None,Healthy,7,0,"Hi Pet Lovers! This is my first posting and I need help! 3 months ago we befriended a mother stray cat with 3 kittens in our area and we 'adopted' them but they come and go as they please. 2 months ago the mother gave birth to a litter of 7 cute kittens and we have been taking care of the mother and the kittens ever since in our home...in the ground floor bathroom! Some of the kittens look half-persian with long hair,evident also from the earlier stray batch we adopted. Looking for good caring homes..."
Dog,Mixed Breed,Female,Brown,Medium,Medium,None,None,None,Healthy,1,0,"Lost Dog Found (Bandar Menjalara, Kepong／Taman Bukit Maluri or Desa Park City) 迷途犬被尋獲 (甲洞孟加拉惹／武吉馬魯里／Desa Park City) Area lost puppy found 小狗被發現地點：Bandar Sri Menjalara, Kepong, KL, Malaysia 大馬吉隆坡甲洞孟加拉惹 How the lost dog found 狗兒如何被發現: The lost puppy entered my staying place itself. 迷途小狗自行進我居住地。 Condition 情況: 雖好像幾天沒進食。看起來健康。頸上系有紅帶。目前甲洞孟加拉惹住宅區保安處看顧。Few days without food. Looks healthy. Neck tied with red belt. Currently taken care by security guard of housing area of Bandar Menjalara."
Dog,Mixed Breed,Female,Black,Medium,Short,No,Yes,No,Healthy,1,0,"This cutie dumped by it's owner at the market and almost kill by the car, after kicking by the guy, trying to hide herself for safe under the car while the driver is ready to run, ran to her hit on the car to notice the driver stop before i pulled her out and safe her. Luckily the kindness factory guy is allowed me to keep her there, cause my shop is full with 19 dogs and cats, situation not allow me to take in more, due to my work i could only feed her once a day and clean her cage. She's a black beauty, about 2months +, if anyone able to give her a forever home, please do directly contact with me or sms me,thanks! And PLEASE the more i can rehome, the more i can rescue!"
Dog,Mixed Breed,Female,Brown,Medium,Medium,No,Yes,Yes,Healthy,1,0,"Godiva was rescued in Serdang residential area. Her group of friends were caught by dog catcher team and she is the only one left. Being stray, she is not afraid of human touch, she is believed to be fed by some household throughout the period. Godiva looks gorgeous and her unigue colour coats is the eye - catcher. Medium length hair, she is absolutely beautiful and would be a good loving companion. Please do give her a good home."
Cat,Domestic Short Hair,Male,Brown,Small,Short,No,Yes,No,Healthy,1,0,"hello cikenets fans, i just wanna inform that cikenet is not lost, i just found out that he is adopted by one of this apartment resident, he become an indoor cat now, he is in good hands and im happy for him.."
Cat,Persian,Male,Golden,Large,Medium,Yes,Yes,Yes,Healthy,1,0,"Garfield is a very large cat. Needs daily grooming. He has been groomed short and deflea. Very good wt other cats. Calm cat. He is neutered, vaccinated and dewormed. Must be kept indoors. Needs grooming and brushing as his fur is very soft and thick. If you are interested to adopt Garfield, please give me a call or sent me an email. thank you."
Cat,Persian,Male,Golden,Medium,Medium,No,No,No,Healthy,1,0,healthy toilet trained cute easy to look after playful
Cat,Domestic Short Hair,Female,Black,Medium,Short,No,No,No,Healthy,1,0,"Just saved this kitten from the street, but i have too many dogs at home, could not adopt her."
Cat,Domestic Short Hair,Female,Brown,Small,Short,No,Yes,No,Healthy,1,0,"This kitten found at the roadside. Stay there and keep meowing. Kitty like to follow human feet. When we stand still, kitty just lean on our feed and sit quietly. Only for indoor adoption. And the adopter must take the kitten to vaccination (start from 2 months old) and neuter (at 6 months old)."
Dog,Mixed Breed,Male,Black,Medium,Short,No,No,No,Healthy,1,0,"This is Whisky, rescued from the streets. He is looking for a loving home. He is very friendly and doesn't bark unnecessarily. Gets along quite well with another dog. Please contact me if you wish to adopt him. No caging up or tying up."
