country,color_code,pet,age,gender,size,photos,text
US,Black,Dog,Adult,Female,Medium,3,This sweet girl lost her owner when he recently went to Heaven and she now is looking for her forever home. $200 www.all4animalsrescue.org
US,Other,Cat,Baby,Male,Medium,1,"2 gray kittens, 1 male and 1 female 1 gray tabby female 1 medium length black/gray female 1 medium length black w/gray tips female"
US,Unknown,Dog,Adult,Male,Small,2,"Spanky is a 2yr.old cutie, he is 6 pounds and looking for a wonderful home.He is neutered, mico chipped ,heartworm tested and current."
US,White_Cream,Dog,Adult,Female,Large,3,"Please call my foster mom, Jody @ (352)316-5155 to find out how sweet I am.. she will be posting my story soon.. Thanks, Ginger"
US,Other,Cat,Adult,Female,Medium,1,"I'm Cammy, they are currently working on my bio. Please check back! If you are interested not call or email! Better yet come meet me!"
US,Other,Cat,Adult,Male,Medium,1,"I'm CJ, they are currently working on my bio. Please check back! If you are interested not call or email! Better yet come meet me!"
US,Unknown,Dog,Adult,Male,Large,3,"Sevier County Humane Society 865-453-7000 959 Gnatty Branch Rd. Sevierville Closed Mondays. Open Tuesday, Wednesday, Thursday 12 - 7 Friday, Saturday, Sunday 12 - 5"
US,White_Cream,Dog,Baby,Male,Medium,1,"Adoption fee is $67 and includes vaccinations, spay/neuter, heartworm test, and microchip.        Available for adoption, foster, or rescue.        1869 Ames Blvd  Marrero, LA 70072"
US,Other,Cat,Adult,Female,Medium,3,Misty is a sweet four year old russian blue/lavander tabby.  Loves to curl up in your lap.  Very sweet.  Good with dogs and cats.
US,Black,Dog,Adult,Female,Large,1,"Cookie - 4 year old Shepherd mix Female - over 60 lbs (ON DIET!!!) Great with cats, kids, people but would prefer a home without other dogs. "
US,Unknown,Dog,Adult,Male,Small,1,"Very sweet dog who would love a great home!  Jimmy Choo, Border Collie Mix has been shared from Shelter Exchange - http://www.shelterexchange.org."
US,Unknown,Dog,Adult,Female,Medium,1,"Very sweet and loving and would love a good home!  Dopey, Labrador Retriever Mix has been shared from Shelter Exchange - http://www.shelterexchange.org."
US,Other,Cat,Adult,Female,Large,3,"Sandy enjoys playing with and spending time with dogs. Most of all, she love to snuggle and she chirps in her sleep! Best purr ever!"
US,Unknown,Horse,Adult,Female,Large,3,"To learn more about Sansa, visit https://horseandridermatch.com/2018/06/08/sansa-2015-palomino-quarter-horse-filly-with-the-appalachian-trainer-face-off/"
US,Other,Cat,Baby,Male,Medium,2,"I am a fun, playful, 12 week old handsome little man! Please visit me at Petsmart in Farmingdale or contact me at www.awaprescue.com"
US,Unknown,Cat,Baby,Male,Medium,3,Cute little Tobias was found all alone wondering in the campgrounds. Boy was he hungry! He is safe now and looking for his forever home!
US,Unknown,Rat,Young,Male,Medium,3,Male hooded rat. Hand tame and sweet. Will do well alone or with a cage mate. Most ages and colors of rats available for adoption.
US,Unknown,Rat,Young,Male,Medium,3,Male hooded rat. Hand tame and sweet. Will do well alone or with a cage mate. Most ages and colors of rats available for adoption.
US,Other,Cat,Adult,Female,Medium,3,"Cousin It (spayed female) 3 years - tabby w/ white DSH - stray Front declawed  Adoption Fee: $60  Adoption fee includes spay/neuter, up-to-date vaccinations and microchipping."
US,Black,Dog,Adult,Male,Large,1,"Blue is friendly, outgoing, active and very smart.  He is good with children. His family lost their home and can no longer care for him."
US,Black,Chicken,Adult,Male,Large,2,"Axel is a black rooster that is not aggressive around humans, and loves watermelon as his favorite treat. He is looking for his forever home."
US,Other,Cat,Adult,Female,Small,1,FIV/FELV negative  Meet Fluffy at pet Valu in Mullica Hil NJ  Adopter will need to brush/comb frequently and do eye care from tearing
US,Black_White,Cat,Young,Female,Medium,1,"Evette is a beautiful girl that is very friendly, playful and a cuddler. She is very laid back.  Spayed, micro-chipped and current on shots."
US,Brown_Chocolate,Cat,Adult,Female,Small,2,Mocha is a pretty sweet princess. Mocha loves to be petted and curl up in your lap.   She gets along with other kitties and dogs.
US,Unknown,Cat,Adult,Male,Medium,1,Smokey is an adult male who is adjusting quite well to his new life at the shelter. Smokey loves lots of attention and love pets.
US,White_Cream,Dog,Adult,Male,Small,5,"Please visit http://www.buckeyebulldogrescue.org/mannie.html, for more information and information on adoption. Inquiries through Adoptapet (or Petfinder) will not be returned."
US,Other,Dog,Adult,Male,Small,3,The staff and volunteers of Berkeley Animal Care Services think that Dobby has a personality of Western Lap Lounger.  Thumper has been good with dogs.
US,Other,Cat,Adult,Male,Extra Large,3,A huge hunk of love.  Patches just wants to love! He is goid with people children dogs other cats. A purrfect and so handsome boy
US,Unknown,Dog,Adult,Female,Medium,1,Mocha is a very lovable 2 year old female terrier mix who would be wonderful for a family with older kids and no other animals.
US,Unknown,Guinea Pig,Young,Female,Small,1,Camille is a young and pretty female guinea pig. She is still a bit skittish but she will do well with patient and gentle handling.
US,Other,Cat,Young,Female,Medium,3,"""Daffodil is a shy girl who just needs some tender loving care. She loves taking naps and watching people from her princess tower."" Cat Associate"
US,Other,Cat,Young,Female,Medium,2,Maxine is a super adorable little girl about 9 months Vaccinated and spayed Her adoption fee is $35 Email for an application   AnimalAidofBranchCounty@yahoo.com
US,Other,Dog,Adult,Male,Large,2,Rufus is about 3 years old. He does well with other dogs but may not do too well with cats due to his prey drive.
US,Black,Cat,Baby,Male,Medium,1,"Come visit PETCO on Sundays and Wednesdays from 3-6 PM on 92nd and Broadway to meet them!   For more information, email 2000spaysandneuters@gmail.com."
US,Black_White,Cat,Adult,Male,Extra Large,5,"Scooby is a combination of super handsome, mellow, cuddly and a tad goofy. Life will never be boring with this handsome boy by your side"
US,Other,Cat,Adult,Male,Large,1,"A POLYDACTYL, Sunkins is an absolute love.  Prefers to be an indoor-outdoor guy, gently, loving, just an all-around easy keeper!!!!  MORE PHOTOS SOON!!"
US,Unknown,Cat,Adult,Female,Medium,2,Ellie is very friendly and needy.  She likes to be right there all if the time (and likes to sleep on right next to you.
US,Other,Cat,Adult,Male,Extra Large,2,BLUE EYED LOVER Loving  Lap kitty Big big boy Loves snuggles and hugs Simple  Independent  Eats well Healthy FIV & Felv Negative Okay with older children
US,Black_White,Cat,Young,Male,Medium,1,"Jackson is an active black-and-white tuxedo boy who is very playful. For more information about Jackson, please email us at adoptions@citycritters.org."
US,Unknown,Cat,Young,Female,Medium,1,"Very sweet, but shy.  Tippy is a courtesy listing only.  Please contact the owner directly:    Susie (830)234-7589 cell or (830)597-2200 home."
US,Other,Dog,Young,Female,Medium,4,"Adoption fee includes spaying/neutering, updated shots, micro-chip and heart-worm testing. Contact foster parent Dinesha 972-896-6313 or email: adbadoptions@yahoo.com"
US,Other,Dog,Baby,Male,Medium,4,Curtis is a 4 month old Bahamian Potcake. He is super playful and loves the water. He gets along with other dogs and loves kids.
US,Black_White,Cat,Young,Male,Large,1,"Buddy came to us as a  semi feral kitten. He came with his sister Callie. Male, neutered, vaccinated, very shy. Needs a very quiet home."
US,Other,Rabbit,Young,Female,Small,1,Tabitha is a 4 month old lionhead rabbit. she is a beautiful golden sable. She is a very sweet girl. Her adoption fee is $20
US,Black,Rabbit,Young,Female,Small,1,Liza is a Beauty with a full black coat and long mane. She is a sweet girl and very gentle .Her adoption fee is $20
US,Brown_Chocolate,Dog,Young,Female,Small,5,Taffy is a sweet girl who is looking for her forever home. She is about two years old and loves going on walks and hikes.
US,Black,Cat,Baby,Male,Small,2,Thomas is a very loving boy. He is playful with dogs and cats ad loves affection. Adoption fee is $50.  He was born April 2017
US,Black,Dog,Adult,Female,Large,5,NOTE: A privacy fence is required to adopt Pepper. Pepper has a strong prey drive and can jump 4 and 5 foot chain-link fences.
US,Black,Cat,Baby,Male,Medium,2,Hi! We're Hillie Billie and Moonshadow! We're not biological brothers but quickly became bonded and are now inseparable! We're looking for our furrever home together
